lam    median_flux   err    ngals
      3000.00      0.00000      0.00000      0.00000
      3000.50      0.00000      0.00000      0.00000
      3001.00      0.00000      0.00000      0.00000
      3001.50      0.00000      0.00000      0.00000
      3002.00      0.00000      0.00000      0.00000
      3002.50      0.00000      0.00000      0.00000
      3003.00      0.00000      0.00000      0.00000
      3003.50      0.00000      0.00000      0.00000
      3004.00      0.00000      0.00000      0.00000
      3004.50      0.00000      0.00000      0.00000
      3005.00      0.00000      0.00000      0.00000
      3005.50      0.00000      0.00000      0.00000
      3006.00      0.00000      0.00000      0.00000
      3006.50      0.00000      0.00000      0.00000
      3007.00      0.00000      0.00000      0.00000
      3007.50      0.00000      0.00000      0.00000
      3008.00      0.00000      0.00000      0.00000
      3008.50      0.00000      0.00000      0.00000
      3009.00      0.00000      0.00000      0.00000
      3009.50      0.00000      0.00000      0.00000
      3010.00      0.00000      0.00000      0.00000
      3010.50      0.00000      0.00000      0.00000
      3011.00      0.00000      0.00000      0.00000
      3011.50      0.00000      0.00000      0.00000
      3012.00      0.00000      0.00000      0.00000
      3012.50      0.00000      0.00000      0.00000
      3013.00      0.00000      0.00000      0.00000
      3013.50      0.00000      0.00000      0.00000
      3014.00      0.00000      0.00000      0.00000
      3014.50      0.00000      0.00000      0.00000
      3015.00      0.00000      0.00000      0.00000
      3015.50      0.00000      0.00000      0.00000
      3016.00      0.00000      0.00000      0.00000
      3016.50      0.00000      0.00000      0.00000
      3017.00      0.00000      0.00000      0.00000
      3017.50      0.00000      0.00000      0.00000
      3018.00      0.00000      0.00000      0.00000
      3018.50      0.00000      0.00000      0.00000
      3019.00      0.00000      0.00000      0.00000
      3019.50      0.00000      0.00000      0.00000
      3020.00      0.00000      0.00000      0.00000
      3020.50      0.00000      0.00000      0.00000
      3021.00      0.00000      0.00000      0.00000
      3021.50      0.00000      0.00000      0.00000
      3022.00      0.00000      0.00000      0.00000
      3022.50      0.00000      0.00000      0.00000
      3023.00      0.00000      0.00000      0.00000
      3023.50      0.00000      0.00000      0.00000
      3024.00      0.00000      0.00000      0.00000
      3024.50      0.00000      0.00000      0.00000
      3025.00      0.00000      0.00000      0.00000
      3025.50      0.00000      0.00000      0.00000
      3026.00      0.00000      0.00000      0.00000
      3026.50      0.00000      0.00000      0.00000
      3027.00      0.00000      0.00000      0.00000
      3027.50      0.00000      0.00000      0.00000
      3028.00      0.00000      0.00000      0.00000
      3028.50      0.00000      0.00000      0.00000
      3029.00      0.00000      0.00000      0.00000
      3029.50      0.00000      0.00000      0.00000
      3030.00      0.00000      0.00000      0.00000
      3030.50      0.00000      0.00000      0.00000
      3031.00      0.00000      0.00000      0.00000
      3031.50      0.00000      0.00000      0.00000
      3032.00      0.00000      0.00000      0.00000
      3032.50      0.00000      0.00000      0.00000
      3033.00      0.00000      0.00000      0.00000
      3033.50      0.00000      0.00000      0.00000
      3034.00      0.00000      0.00000      0.00000
      3034.50      0.00000      0.00000      0.00000
      3035.00      0.00000      0.00000      0.00000
      3035.50      0.00000      0.00000      0.00000
      3036.00      0.00000      0.00000      0.00000
      3036.50      0.00000      0.00000      0.00000
      3037.00      0.00000      0.00000      0.00000
      3037.50      0.00000      0.00000      0.00000
      3038.00      0.00000      0.00000      0.00000
      3038.50      0.00000      0.00000      0.00000
      3039.00      0.00000      0.00000      0.00000
      3039.50      0.00000      0.00000      0.00000
      3040.00      0.00000      0.00000      0.00000
      3040.50      0.00000      0.00000      0.00000
      3041.00      0.00000      0.00000      0.00000
      3041.50      0.00000      0.00000      0.00000
      3042.00      0.00000      0.00000      0.00000
      3042.50      0.00000      0.00000      0.00000
      3043.00      0.00000      0.00000      0.00000
      3043.50      0.00000      0.00000      0.00000
      3044.00      0.00000      0.00000      0.00000
      3044.50      0.00000      0.00000      0.00000
      3045.00      0.00000      0.00000      0.00000
      3045.50      0.00000      0.00000      0.00000
      3046.00      0.00000      0.00000      0.00000
      3046.50      0.00000      0.00000      0.00000
      3047.00      0.00000      0.00000      0.00000
      3047.50      0.00000      0.00000      0.00000
      3048.00      0.00000      0.00000      0.00000
      3048.50      0.00000      0.00000      0.00000
      3049.00      0.00000      0.00000      0.00000
      3049.50      0.00000      0.00000      0.00000
      3050.00      0.00000      0.00000      0.00000
      3050.50      0.00000      0.00000      0.00000
      3051.00      0.00000      0.00000      0.00000
      3051.50      0.00000      0.00000      0.00000
      3052.00      0.00000      0.00000      0.00000
      3052.50      0.00000      0.00000      0.00000
      3053.00      0.00000      0.00000      0.00000
      3053.50      0.00000      0.00000      0.00000
      3054.00      0.00000      0.00000      0.00000
      3054.50      0.00000      0.00000      0.00000
      3055.00      0.00000      0.00000      0.00000
      3055.50      0.00000      0.00000      0.00000
      3056.00      0.00000      0.00000      0.00000
      3056.50      0.00000      0.00000      0.00000
      3057.00      0.00000      0.00000      0.00000
      3057.50      0.00000      0.00000      0.00000
      3058.00      0.00000      0.00000      0.00000
      3058.50      0.00000      0.00000      0.00000
      3059.00      0.00000      0.00000      0.00000
      3059.50      0.00000      0.00000      0.00000
      3060.00      0.00000      0.00000      0.00000
      3060.50      0.00000      0.00000      0.00000
      3061.00      0.00000      0.00000      0.00000
      3061.50      0.00000      0.00000      0.00000
      3062.00      0.00000      0.00000      0.00000
      3062.50      0.00000      0.00000      0.00000
      3063.00      0.00000      0.00000      0.00000
      3063.50      0.00000      0.00000      0.00000
      3064.00      0.00000      0.00000      0.00000
      3064.50      0.00000      0.00000      0.00000
      3065.00      0.00000      0.00000      0.00000
      3065.50      0.00000      0.00000      0.00000
      3066.00      0.00000      0.00000      0.00000
      3066.50      0.00000      0.00000      0.00000
      3067.00      0.00000      0.00000      0.00000
      3067.50      0.00000      0.00000      0.00000
      3068.00      0.00000      0.00000      0.00000
      3068.50      0.00000      0.00000      0.00000
      3069.00      0.00000      0.00000      0.00000
      3069.50      0.00000      0.00000      0.00000
      3070.00      0.00000      0.00000      0.00000
      3070.50      0.00000      0.00000      0.00000
      3071.00      0.00000      0.00000      0.00000
      3071.50      0.00000      0.00000      0.00000
      3072.00      0.00000      0.00000      0.00000
      3072.50      0.00000      0.00000      0.00000
      3073.00      0.00000      0.00000      0.00000
      3073.50      0.00000      0.00000      0.00000
      3074.00      0.00000      0.00000      0.00000
      3074.50      0.00000      0.00000      0.00000
      3075.00      0.00000      0.00000      0.00000
      3075.50      0.00000      0.00000      0.00000
      3076.00      0.00000      0.00000      0.00000
      3076.50      0.00000      0.00000      0.00000
      3077.00      0.00000      0.00000      0.00000
      3077.50      0.00000      0.00000      0.00000
      3078.00      0.00000      0.00000      0.00000
      3078.50      0.00000      0.00000      0.00000
      3079.00      0.00000      0.00000      0.00000
      3079.50      0.00000      0.00000      0.00000
      3080.00      0.00000      0.00000      0.00000
      3080.50      0.00000      0.00000      0.00000
      3081.00      0.00000      0.00000      0.00000
      3081.50      0.00000      0.00000      0.00000
      3082.00      0.00000      0.00000      0.00000
      3082.50      0.00000      0.00000      0.00000
      3083.00      0.00000      0.00000      0.00000
      3083.50      0.00000      0.00000      0.00000
      3084.00      0.00000      0.00000      0.00000
      3084.50      0.00000      0.00000      0.00000
      3085.00      0.00000      0.00000      0.00000
      3085.50      0.00000      0.00000      0.00000
      3086.00      0.00000      0.00000      0.00000
      3086.50      0.00000      0.00000      0.00000
      3087.00      0.00000      0.00000      0.00000
      3087.50      0.00000      0.00000      0.00000
      3088.00      0.00000      0.00000      0.00000
      3088.50      0.00000      0.00000      0.00000
      3089.00      0.00000      0.00000      0.00000
      3089.50      0.00000      0.00000      0.00000
      3090.00      0.00000      0.00000      0.00000
      3090.50      0.00000      0.00000      0.00000
      3091.00      0.00000      0.00000      0.00000
      3091.50      0.00000      0.00000      0.00000
      3092.00      0.00000      0.00000      0.00000
      3092.50      0.00000      0.00000      0.00000
      3093.00      0.00000      0.00000      0.00000
      3093.50      0.00000      0.00000      0.00000
      3094.00      0.00000      0.00000      0.00000
      3094.50      0.00000      0.00000      0.00000
      3095.00      0.00000      0.00000      0.00000
      3095.50      0.00000      0.00000      0.00000
      3096.00      0.00000      0.00000      0.00000
      3096.50      0.00000      0.00000      0.00000
      3097.00      0.00000      0.00000      0.00000
      3097.50      0.00000      0.00000      0.00000
      3098.00      0.00000      0.00000      0.00000
      3098.50      0.00000      0.00000      0.00000
      3099.00      0.00000      0.00000      0.00000
      3099.50      0.00000      0.00000      0.00000
      3100.00      0.00000      0.00000      0.00000
      3100.50      0.00000      0.00000      0.00000
      3101.00      0.00000      0.00000      0.00000
      3101.50      0.00000      0.00000      0.00000
      3102.00      0.00000      0.00000      0.00000
      3102.50      0.00000      0.00000      0.00000
      3103.00      0.00000      0.00000      0.00000
      3103.50      0.00000      0.00000      0.00000
      3104.00      0.00000      0.00000      0.00000
      3104.50      0.00000      0.00000      0.00000
      3105.00      0.00000      0.00000      0.00000
      3105.50      0.00000      0.00000      0.00000
      3106.00      0.00000      0.00000      0.00000
      3106.50      0.00000      0.00000      0.00000
      3107.00      0.00000      0.00000      0.00000
      3107.50      0.00000      0.00000      0.00000
      3108.00      0.00000      0.00000      0.00000
      3108.50      0.00000      0.00000      0.00000
      3109.00      0.00000      0.00000      0.00000
      3109.50      0.00000      0.00000      0.00000
      3110.00      0.00000      0.00000      0.00000
      3110.50      0.00000      0.00000      0.00000
      3111.00      0.00000      0.00000      0.00000
      3111.50      0.00000      0.00000      0.00000
      3112.00      0.00000      0.00000      0.00000
      3112.50      0.00000      0.00000      0.00000
      3113.00      0.00000      0.00000      0.00000
      3113.50      0.00000      0.00000      0.00000
      3114.00      0.00000      0.00000      0.00000
      3114.50      0.00000      0.00000      0.00000
      3115.00      0.00000      0.00000      0.00000
      3115.50      0.00000      0.00000      0.00000
      3116.00      0.00000      0.00000      0.00000
      3116.50      0.00000      0.00000      0.00000
      3117.00      0.00000      0.00000      0.00000
      3117.50      0.00000      0.00000      0.00000
      3118.00      0.00000      0.00000      0.00000
      3118.50      0.00000      0.00000      0.00000
      3119.00      0.00000      0.00000      0.00000
      3119.50      0.00000      0.00000      0.00000
      3120.00      0.00000      0.00000      0.00000
      3120.50      0.00000      0.00000      0.00000
      3121.00      0.00000      0.00000      0.00000
      3121.50      0.00000      0.00000      0.00000
      3122.00      0.00000      0.00000      0.00000
      3122.50      0.00000      0.00000      0.00000
      3123.00      0.00000      0.00000      0.00000
      3123.50      0.00000      0.00000      0.00000
      3124.00      0.00000      0.00000      0.00000
      3124.50      0.00000      0.00000      0.00000
      3125.00      0.00000      0.00000      0.00000
      3125.50      0.00000      0.00000      0.00000
      3126.00      0.00000      0.00000      0.00000
      3126.50      0.00000      0.00000      0.00000
      3127.00      0.00000      0.00000      0.00000
      3127.50      0.00000      0.00000      0.00000
      3128.00      0.00000      0.00000      0.00000
      3128.50      0.00000      0.00000      0.00000
      3129.00      0.00000      0.00000      0.00000
      3129.50      0.00000      0.00000      0.00000
      3130.00      0.00000      0.00000      0.00000
      3130.50      0.00000      0.00000      0.00000
      3131.00      0.00000      0.00000      0.00000
      3131.50      0.00000      0.00000      0.00000
      3132.00      0.00000      0.00000      0.00000
      3132.50      0.00000      0.00000      0.00000
      3133.00      0.00000      0.00000      0.00000
      3133.50      0.00000      0.00000      0.00000
      3134.00      0.00000      0.00000      0.00000
      3134.50      0.00000      0.00000      0.00000
      3135.00      0.00000      0.00000      0.00000
      3135.50      0.00000      0.00000      0.00000
      3136.00      0.00000      0.00000      0.00000
      3136.50      0.00000      0.00000      0.00000
      3137.00      0.00000      0.00000      0.00000
      3137.50      0.00000      0.00000      0.00000
      3138.00      0.00000      0.00000      0.00000
      3138.50     -2.57617      1.28522      1.00000
      3139.00     -1.98243     0.921481      1.00000
      3139.50     -1.42013     0.692787      1.00000
      3140.00    -0.925976     0.537142      2.00000
      3140.50    -0.529289     0.642421      2.00000
      3141.00    -0.134454     0.216149      2.00000
      3141.50   -0.0106755     0.400358      3.00000
      3142.00   -0.0293755     0.413910      3.00000
      3142.50  -0.00754137     0.131988      4.00000
      3143.00      0.00000     0.125917      4.00000
      3143.50 -0.000180007     0.167332      4.00000
      3144.00  -0.00104264    0.0791435      5.00000
      3144.50  0.000771750    0.0600671      5.00000
      3145.00   0.00287837    0.0402925      6.00000
      3145.50  -0.00131255     0.115061      7.00000
      3146.00   0.00725160     0.113580      7.00000
      3146.50    0.0129264    0.0708151      7.00000
      3147.00   0.00354479    0.0513269      7.00000
      3147.50  -0.00108741    0.0270248      8.00000
      3148.00  -0.00757775    0.0238925      8.00000
      3148.50  -0.00367971    0.0296269      9.00000
      3149.00  -0.00146919    0.0331021      9.00000
      3149.50  0.000225045    0.0419187      9.00000
      3150.00   0.00448511    0.0459986      9.00000
      3150.50   0.00424815    0.0248638      9.00000
      3151.00    0.0208707    0.0319226      9.00000
      3151.50   0.00205282    0.0308140      9.00000
      3152.00  -0.00959589    0.0138071      9.00000
      3152.50   0.00120494    0.0383899      9.00000
      3153.00   0.00706057    0.0361117      9.00000
      3153.50  -0.00342071    0.0310823      9.00000
      3154.00  0.000626785    0.0189280      9.00000
      3154.50    0.0230743    0.0119213      9.00000
      3155.00    0.0198150   0.00699786      9.00000
      3155.50   0.00697637    0.0136011      9.00000
      3156.00   0.00178686    0.0866026      9.00000
      3156.50 -0.000557845    0.0299816      9.00000
      3157.00    0.0413633    0.0523715      10.0000
      3157.50    0.0157920    0.0467166      10.0000
      3158.00   0.00593034    0.0392097      11.0000
      3158.50 -0.000912676    0.0158341      12.0000
      3159.00    0.0223176    0.0215027      12.0000
      3159.50   0.00628844    0.0149609      12.0000
      3160.00 -0.000213981   0.00451135      12.0000
      3160.50  -0.00130153   0.00917113      12.0000
      3161.00   0.00142809    0.0164391      12.0000
      3161.50   0.00134207    0.0185439      12.0000
      3162.00  -0.00653228    0.0118432      12.0000
      3162.50 -0.000190455    0.0282127      13.0000
      3163.00   0.00591032    0.0192840      14.0000
